Age,Gender,Attrition,Department,Environment Satisfaction,Marital status,MonthlyIncome,YearsInCurrentRole,HourlyRate,Job responsibilities,JobSatisfaction,leftOrganizationInPast12mnths,Reasons for leaving,NumInstitutesWorked,PercentSalaryHike,RelationshipSatisfaction,DistanceFromHome,BusinessTravel,Education,EducationField,WorkLifeBalance,YearsAtOrganization,JobInvolvement,PerformanceRating,JobLevel
38,Female,Yes,B.E.,4,Single,4449,11,72,5,3,No,"Better job opportunities, Work-related stress, Compensation and benefits",0,23,2,5,Travel_Rarely,3,Business Administration,3,10,3,3,4
38,Male,No,CSA,4,Single,2218,2,98,4,1,No,Issues with management,6,15,1,15,Non-Travel,3,Communications,3,0,3,3,2
27,Male,Yes,Applied science,3,Single,19197,8,52,4,3,Yes,Better job opportunities,0,11,3,25,Travel_Rarely,2,Computer Science,2,8,3,4,1
49,Male,Yes,B.E.,4,Married,13212,7,86,4,1,Yes,Compensation and benefits,0,12,1,5,Travel_Rarely,1,Information Technology,3,2,3,3,1
34,Male,No,CSA,4,Single,6577,4,83,4,3,Yes,Better job opportunities,1,13,4,16,Travel_Rarely,2,Marketing,3,7,3,3,1
40,Female,No,CSA,3,Single,8392,7,49,4,1,Yes,Better job opportunities,0,20,3,15,Travel_Rarely,3,Business Administration,2,1,3,3,2
38,Female,Yes,B.E.,2,Single,4558,0,79,3,1,Yes,Work-related stress,5,22,2,5,Travel_Rarely,4,Communications,3,1,3,3,2
29,Female,No,Applied science,2,Single,4031,2,91,4,1,Yes,Issues with management,1,21,4,10,Travel_Frequently,2,Computer Science,3,9,3,4,5
22,Female,No,B.E.,4,Single,7969,4,39,3,3,Yes,Better job opportunities,0,13,1,25,Travel_Rarely,2,Information Technology,3,7,3,3,5
36,Female,No,CSA,2,Single,2654,2,69,3,4,Yes,Work-related stress,1,13,1,25,Travel_Rarely,4,Marketing,2,5,3,3,2
40,Female,No,Applied science,4,Married,16555,2,30,2,4,Yes,Better job opportunities,2,12,4,20,Travel_Rarely,3,Business Administration,2,9,1,3,1
46,Female,Yes,CSA,4,Single,4556,4,92,3,3,Yes,Better job opportunities,5,17,3,50,Travel_Rarely,2,Communications,3,5,3,3,1
32,Female,No,B.E.,4,Single,6091,4,43,3,4,No,Work-related stress,0,11,3,30,Travel_Rarely,4,Computer Science,3,2,3,4,3
30,Female,No,Applied science,3,Single,19566,8,41,2,1,Yes,Better job opportunities,7,14,3,10,Travel_Rarely,4,Information Technology,2,4,2,4,2
27,Female,Yes,B.E.,4,Single,4810,7,87,4,3,Yes,Compensation and benefits,0,11,4,5,Travel_Rarely,2,Marketing,3,10,2,3,4
51,Male,No,CSA,2,Single,4523,5,88,5,4,Yes,Work-related stress,1,12,4,1,Travel_Rarely,1,Business Administration,3,6,3,3,1
30,Female,Yes,B.E.,4,Married,3202,3,62,4,2,Yes,Better job opportunities,2,13,3,10,Travel_Rarely,3,Communications,3,1,3,3,2
41,Male,Yes,Applied science,4,Single,2351,2,33,4,3,No,"Better job opportunities, Lack of career growth, Compensation and benefits",4,16,3,28,Travel_Rarely,1,Computer Science,3,25,2,3,3
30,Male,No,CSA,3,Single,1702,0,42,3,4,Yes,"Better job opportunities, Lack of career growth, Work-related stress",1,11,3,8,Travel_Rarely,4,Information Technology,2,3,4,3,3
29,Female,Yes,B.E.,3,Single,18041,15,79,2,3,No,Better job opportunities,0,18,4,15,Travel_Rarely,4,Marketing,3,4,4,3,3
45,Male,No,CSA,4,Married,2886,2,90,5,4,No,"Better job opportunities, ",3,23,4,5,Travel_Frequently,4,Business Administration,3,5,2,4,1
54,Male,No,Applied science,4,Single,2097,3,53,4,4,No,Work-related stress,3,11,4,10,Travel_Rarely,3,Communications,3,12,1,3,4
36,Male,No,CSA,4,Married,11935,2,93,4,3,Yes,Better job opportunities,4,14,4,3,Travel_Rarely,4,Computer Science,2,0,4,4,1
33,Female,No,CSA,3,Single,2546,2,71,4,2,No,"Lack of career growth, Work-related stress",2,11,4,2,Travel_Rarely,2,Information Technology,3,4,4,3,2
37,Female,No,B.E.,2,Single,2564,0,52,4,4,No,"Better job opportunities, Lack of career growth, Issues with management",1,11,3,20,Travel_Frequently,3,Marketing,4,14,4,3,1
38,Male,No,B.E.,1,Divorced,8412,8,69,4,1,Yes,Lack of career growth,3,22,3,4,Travel_Frequently,3,Business Administration,3,10,4,3,5
31,Male,Yes,CSA,3,Married,14118,0,56,3,4,Yes,Lack of career growth,2,11,4,7,Travel_Rarely,2,Communications,4,9,2,3,2
59,Male,No,Applied science,3,Married,17046,10,88,4,3,No,Issues with management,1,14,1,5,Non-Travel,2,Computer Science,2,22,3,3,1
37,Female,No,B.E.,1,Single,2564,7,49,3,4,Yes,Better job opportunities,1,12,3,12,Travel_Rarely,3,Information Technology,2,2,2,3,3
29,Female,No,CSA,2,Married,10266,13,80,3,1,Yes,Issues with management,1,11,4,15,Travel_Frequently,4,Marketing,3,1,3,3,1
35,Female,No,B.E.,3,Married,5070,0,65,2,4,Yes,Lack of career growth,9,13,1,3,Travel_Rarely,3,Business Administration,3,4,3,3,1
